dataset,accession
GlobalA,EPI_ISL_437616
GlobalA,EPI_ISL_437615
GlobalA,EPI_ISL_447919
GlobalA,EPI_ISL_456600
GlobalA,EPI_ISL_424366
GlobalA,EPI_ISL_437316
GlobalA,EPI_ISL_437330
GlobalA,EPI_ISL_437323
GlobalA,EPI_ISL_437320
GlobalA,EPI_ISL_437304
GlobalA,EPI_ISL_457824
GlobalA,EPI_ISL_420303
GlobalA,EPI_ISL_420306
GlobalA,EPI_ISL_431017
GlobalA,EPI_ISL_437515
GlobalA,EPI_ISL_431019
GlobalA,EPI_ISL_424347
GlobalA,EPI_ISL_437516
GlobalA,EPI_ISL_450624
GlobalA,EPI_ISL_450800
GlobalA,EPI_ISL_424669
GlobalA,EPI_ISL_426513
GlobalA,EPI_ISL_426520
GlobalA,EPI_ISL_426527
GlobalA,EPI_ISL_426533
GlobalA,EPI_ISL_426485
GlobalA,EPI_ISL_406223
GlobalA,EPI_ISL_424848
GlobalA,EPI_ISL_452130
GlobalA,EPI_ISL_452127
GlobalA,EPI_ISL_452128
GlobalA,EPI_ISL_452129
GlobalA,EPI_ISL_430944
GlobalA,EPI_ISL_418041
GlobalA,EPI_ISL_416421
GlobalA,EPI_ISL_416424
GlobalA,EPI_ISL_420089
GlobalA,EPI_ISL_428376
GlobalA,EPI_ISL_428377
GlobalA,EPI_ISL_413623
GlobalA,EPI_ISL_414483
GlobalA,EPI_ISL_413608
GlobalA,EPI_ISL_413612
GlobalA,EPI_ISL_413613
GlobalA,EPI_ISL_452132
GlobalA,EPI_ISL_424857
GlobalA,EPI_ISL_419560
GlobalA,EPI_ISL_419559
GlobalA,EPI_ISL_420785
GlobalA,EPI_ISL_424855
GlobalA,EPI_ISL_424854
GlobalA,EPI_ISL_424856
GlobalA,EPI_ISL_452120
GlobalA,EPI_ISL_454690
GlobalA,EPI_ISL_455361
GlobalA,EPI_ISL_420787
GlobalA,EPI_ISL_420786
GlobalA,EPI_ISL_420788
GlobalA,EPI_ISL_424859
GlobalA,EPI_ISL_419556
GlobalA,EPI_ISL_426420
GlobalA,EPI_ISL_426421
GlobalA,EPI_ISL_447842
GlobalA,EPI_ISL_424900
GlobalA,EPI_ISL_424899
GlobalA,EPI_ISL_424865
GlobalA,EPI_ISL_452134
GlobalA,EPI_ISL_444591
GlobalA,EPI_ISL_444531
GlobalA,EPI_ISL_444555
GlobalA,EPI_ISL_444560
GlobalA,EPI_ISL_444522
GlobalA,EPI_ISL_444586
GlobalA,EPI_ISL_404253
GlobalA,EPI_ISL_410045
GlobalA,EPI_ISL_452135
GlobalA,EPI_ISL_452131
GlobalA,EPI_ISL_421279
GlobalA,EPI_ISL_424866
GlobalA,EPI_ISL_426422
GlobalA,EPI_ISL_426423
GlobalA,EPI_ISL_426424
GlobalA,EPI_ISL_452114
GlobalA,EPI_ISL_424867
GlobalA,EPI_ISL_409067
GlobalA,EPI_ISL_424843
GlobalA,EPI_ISL_424914
GlobalA,EPI_ISL_424915
GlobalA,EPI_ISL_424920
GlobalA,EPI_ISL_424845
GlobalA,EPI_ISL_424846
GlobalA,EPI_ISL_424911
GlobalA,EPI_ISL_436851
GlobalA,EPI_ISL_436835
GlobalA,EPI_ISL_436870
GlobalA,EPI_ISL_447059
GlobalA,EPI_ISL_450589
GlobalA,EPI_ISL_450592
